위스키명,증류소,지역,도수,캐스크,맛_노트,스토리,출처,수집일
스카라버스 하이랜드 저니 블렌디드 몰트 스카치 700ml,헌터 레잉 (Hunter Laing) — Highland Journey,스코틀랜드 (하이랜드 증류소 혼합),46.2%,"여러 하이랜드 증류소 몰트를 아메리칸 오크와 스패니시 셰리 캐스크에서 숙성·블렌딩, 논칠필터·자연색","갓 구운 갈색 빵·바닐라 퍼지·헤더·붉은 사과 껍질의 향, 레몬드리즐케이크의 단맛에 이어 시나몬·후추 스파이스, 사과·배와 가벼운 셰리감, 꿀맥아·아몬드의 중간 길이 마무리.","헌터 레잉의 블렌디드 몰트 '하이랜드 저니'. ⚠️ 신라 표기는 헌터 레잉의 두 제품(아일라 싱글몰트 Scarabus / 블렌디드 몰트 Highland Journey)을 혼합한 명칭으로, '블렌디드 몰트' 명시상 실제 제품은 Highland Journey로 판단(Scarabus는 아일라 싱글몰트). 매장 실물 라벨 재확인 권장.",Hunter Laing 공식 · Master of Malt · Whisky Gospel (2026-06-10 리서치),2026-06-10
사가모어 Rye Whiskey 750ml,Sagamore Spirit (사가모어 스피릿),미국 메릴랜드,43% (스탠다드 83 proof; 캐스크스트랭스 등 배치별 상이),고화력 차링 아메리칸 오크 신통에서 4~6년 숙성·메릴랜드 라임스톤 샘물로 가수,"바닐라와 흙내음 도는 호밀 스파이스가 먼저 오고 야생화 꿀의 단맛이 머문 뒤, 마른 후추·계피의 드라이한 호밀 향신료와 오크 코팅으로 마무리.",메릴랜드를 위스키 지도에 되돌려 놓겠다는 목표로 세운 워터프론트 증류소의 메릴랜드 스타일 라이 위스키. 1909년 지은 스프링하우스의 라임스톤 샘물로 가수하는 것이 특징.,The Whiskey Wash · Sagamore Spirit 공식 (2026-06-10 리서치),2026-06-10
짐빔 블랙 체커팩 1000ml,"Jim Beam (짐빔, Beam Suntory)",미국 켄터키,43% (구 86 proof Extra Aged 기준; 현행 7년 버전 45%로 배치별 상이),새로 구운 차링 아메리칸 화이트 오크 신통에서 엑스트라 에이징(구버전 8년→현행 7년),"카라멜·오크·계피·바닐라가 어우러진 깊은 향, 풀바디로 카라멜이 진하고 따뜻한 오크 노트가 균형 잡힌 부드러운 맛.",짐빔 화이트 라벨보다 약 두 배 더 오래 숙성한 프리미엄 라인. '체커팩(체커보드 디자인)'은 면세·여행소매용 1L 패키지로 현재는 7년 숙성 표기로 리뉴얼.,Breaking Bourbon · Jim Beam 공식 (2026-06-10 리서치),2026-06-10
폴존 미투나 750ml,"Paul John (폴 존, John Distilleries)",인도 고아,58%,1st-fill 아메리칸 버진 오크 숙성 후 1st-fill 엑스버번 배럴에서 피니시,"카다멈·열대과일·허니콤·백단향의 향, 설타나·스톤프루트·오크 스파이스·밀크 차이·코코아가 두텁고 오일리하게 이어지며, 카라멜라이즈드 슈거·대추·진한 꿀의 길고 여운 있는 피니시.",인도 고아 John Distilleries의 폴 존 조디악(별자리) 시리즈 중 쌍둥이자리를 상징하는 두 번째 릴리스. 짐 머리 '위스키 바이블 2021'에서 세계 3위 위스키로 선정.,The Whiskey Jug · Paul John 공식 · The Whiskey Wash (2026-06-10 리서치),2026-06-10
더 글렌그란트 익스플로레이션 700ml,"The Glen Grant (더 글렌그란트, Campari Group)",스코틀랜드 스페이사이드,48% (논칠필터),버번 배럴 숙성 후 손수 선별한 카리브 럼 캐스크에서 피니시,"열대과일과 진한 흑설탕, 따뜻한 향신료가 어우러진 생동감 있는 풍미.",글로벌 면세(GTR) 전용 한정 시리즈 익스플로레이션 No.1. 창립자 제임스 '더 메이저' 그란트의 탐험 정신을 기려 반기마다 색다른 캐스크 피니시를 선보이는 라인.,The Spirits Business · GTR Magazine · Moodie Davitt Report (2026-06-10 리서치),2026-06-10
미클토어 친커핀 700ml,"Meikle Tòir (미클 토르, The GlenAllachie Distillery)",스코틀랜드 스페이사이드,48% (피트 35ppm),아메리칸 오크 엑스버번 배럴 5년 숙성 후 미주리 노던 오자크산 친카핀 버진 오크 배럴에서 피니시,"잦아드는 오크 잉걸불·태운 감초·허니콤 향에 야생 헤더·생강·버터스카치·오렌지 껍질, 다크초콜릿·크렘브륄레·구운 아몬드에서 계피·아니스·모닥불 연기로 이어지는 피티드 풍미.",글렌알라키 증류소가 빌리 워커 지휘 아래 선보인 피티드 싱글몰트 브랜드 '미클 토르'(큰 추구)의 더 친카핀 원. 160시간 긴 발효로 과실·에스테르 풍미를 끌어올린 5년 숙성 제품.,The Whiskey Wash · Meikle Tòir 공식 · The GlenAllachie (2026-06-10 리서치),2026-06-10
페넬로페 프로젝트 X 스페니시 브랜디 750ml,Penelope Bourbon (페넬로페 버번),미국 인디애나(MGP),54.5% 내외 (예: 109 proof; 싱글 배럴이라 배치별 상이),스트레이트 버번을 스페인 브랜디 캐스크에서 싱글 배럴 피니시,"자매 릴리스(PX 셰리 등) 기준 풍부한 단맛·과실·향신료가 예상되나, 스페니시 브랜디 한정판의 공식 상세 테이스팅 노트는 공개 정보가 제한적(부분 확인불가).",페넬로페의 실험적 싱글 배럴 라인 '프로젝트 X' 중에서도 희귀한 피니시. 코냑·셰리보다 드문 스페인 브랜디 배럴을 사용해 배럴당 소량만 병입하는 한정 릴리스.,Fine Wine & Good Spirits · Penelope Bourbon 공식 · Breaking Bourbon (2026-06-10 리서치),2026-06-10
페넬로페 프로젝트 X 메이플 브륄레 750ml,Penelope Bourbon (페넬로페 버번),미국 인디애나(MGP),55.7% (111.4 proof; 싱글 배럴이라 배치별 상이),스트레이트 버번을 캐나다 퀘벡산 메이플 브륄레 캐스크에서 피니시,"진한 메이플 시럽·구운 카라멜·차링 오크의 향, 입에 닿자마자 강한 단맛과 브륄레한 설탕·바닐라·겹겹의 스파이스, 메이플과 스모키한 바닐라가 길게 따뜻하게 남는 피니시.",페넬로페의 실험적 한정 라인 '프로젝트 X' 스페셜 배럴. 퀘벡산 메이플 브륄레 캐스크에서 피니시해 배럴마다 고유 프로파일을 내는 소량 릴리스.,Bourbon Hunt USA · Shared Pour · Penelope Bourbon 공식 (2026-06-10 리서치),2026-06-10
BLADNOCH 16YO 700ml,블라드노흐 (Bladnoch),스코틀랜드 로우랜드,46.7%,올로로소 셰리 캐스크 숙성,"올로로소 셰리가 뚜렷해 건과일·향신료·다크초콜릿·태운 캐러멜·무화과·건포도가 풍부하고, 바디는 비교적 가벼우며 실키한 질감에 오렌지 제스트·담뱃잎 뉘앙스가 이어진다.","로우랜드 최남단 갤러웨이의 블라드노흐 증류소(1817년 설립, 현존 최고령급)에서 만든 16년 싱글몰트로, 올로로소 셰리 캐스크에서만 숙성한 셰리 중심 표현.",Bladnoch 공식 · Hard To Find Whisky · A Scot on Scotch (2026-06-10 리서치),2026-06-10
라프로익 레거시 에디션 700ml,라프로익 (Laphroaig),스코틀랜드 아일라,48%,퍼스트필 버번 배럴 + 뉴 유러피언 오크 혹스헤드 숙성,"아프리코트·건포도의 농축된 단맛에 오래된 가죽과 젖은 숯 향, 입에서는 피트 스모크와 부드러운 스파이시 오크, 캐러멜화된 검은 과일·견과류가 어우러지며 기름진 훈연의 긴 여운.",아일라 라프로익의 트래블 리테일 전용 NAS 표현으로 1815년 증류소 설립을 기리는 'Legacy(레거시)' 라인. 동일 라인에 'The 1815 Legacy Edition'·신형 'The Cask Legacy'(둘 다 48%·유사 캐스크)가 있어 정확한 배치는 라벨 확인 권장.,Master of Malt · Laphroaig 공식 · Whiskybase (2026-06-10 리서치),2026-06-10
글렌모레이 슈냉 블랑 700ml,글렌 모레이 (Glen Moray),스코틀랜드 스페이사이드,확인불가 (배치별 상이 — 라벨 확인 필요),슈냉 블랑(화이트와인) 캐스크 숙성,"향신료와 소나무/유칼립투스 오크, 캐러멜·시트러스 오일의 단맛, 입에서는 캐러멜·설타나·꿀과 글라세 과일, 사과·자몽의 상큼한 과일 뉘앙스.","스페이사이드 엘긴의 글렌 모레이는 와인 캐스크 실험으로 유명하며, 남아공 화이트와인 품종 슈냉 블랑 캐스크에서 숙성한 표현. 여러 배치(8년 60%대, 2004 싱글캐스크 60.3% 등)가 존재해 본 700ml의 정확한 도수·숙성년수는 라벨 확인 필요.",Whisky For Everyone · Whiskybase · Whiskyphiles (2026-06-10 리서치),2026-06-10
더 글렌그란트 12년 1000ml,글렌 그란트 (Glen Grant),스코틀랜드 스페이사이드,43%,버번 + 셰리 캐스크 숙성,"꿀·배·사과에 아몬드와 시트러스 힌트가 어우러진 부드러운 과수원 과일 향, 입에서는 애플파이 크러스트·캐러멜·바닐라의 크리미한 단맛에 은은한 스파이스가 여운으로 남는다.","스페이사이드 로시스의 글렌 그란트 증류소(1840년 설립) 12년 싱글몰트로, 맑고 과일향 위주의 클래식한 스페이사이드 스타일을 보여주는 1L 표현.",The Whisky Exchange · The Whiskey Wash · Flaviar (2026-06-10 리서치),2026-06-10
엘리먼츠오브아일라 버번캐스크 700ml,"엘릭서 디스틸러스 (Elixir Distillers, Islay blended malt)",스코틀랜드 아일라,54.5%,퍼스트필·리필 버번 배럴 숙성 (논칠필터·내추럴 컬러),"바닐라 꼬투리·설탕·열대과일의 달콤한 향에 굴뚝 석탄 같은 옅은 훈연, 입에서는 초콜릿 카푸치노·바닐라 커스터드 브리오슈·메이플시럽에 절인 과일과 함께 강렬한 피트 파이어가 터진다.","런던 기반 독립 보틀러 엘릭서 디스틸러스의 아일라 블렌디드 몰트로, 라프로익 약 65%·쿨일라 약 35%를 버번 캐스크에서 숙성한 NAS·캐스크 스트랭스 표현.",The Whisky Wash · WhiskyCast · Whiskynotes (2026-06-10 리서치),2026-06-10
오켄토션 블러드 오크 1000ml,오켄토션 (Auchentoshan),스코틀랜드 로우랜드,46%,엑스버번 + 보르도 레드와인 캐스크 더블매처링(논칠필터),"라즈베리·다크체리·자두 등 붉은 과일에 바닐라·코코넛·생강·계피 스파이스, 피니시는 레드커런트와 오크 스파이스가 길게 남는다.",로우랜드 특유의 삼중증류 싱글몰트로 2015년 트래블 리테일(면세) 전용 출시. 보르도 레드와인 캐스크 영향으로 핏빛(blood) 색조와 와인 캐스크 풍미가 두드러진다.,Master of Malt · The Dramble · Auchentoshan 공식 (2026-06-10 리서치),2026-06-10
폴 존 클래식 1000ml,폴 존 (Paul John),인도 고아,55.2% (캐스크 스트렝스·배치별 상이),"엑스버번 배럴, 캐스크 스트렝스·논칠필터","꿀·맥아의 풍부한 단맛에 계피·후추 스파이스, 파인애플·바나나·망고의 열대 과일, 데메라라 설탕의 부드러운 피니시.",인도 고아 서부 해안 폴 존 증류소의 언피티드 싱글몰트로 캐스크 스트렝스 병입. 월드 위스키 어워드 다수 수상.,Master of Malt · Whiskybase · Paul John 공식 (2026-06-10 리서치),2026-06-10
사가모어 Cask Strength Whiskey 750ml,사가모어 스피릿 (Sagamore Spirit),미국 메릴랜드,56.1% (약 112proof·배럴별 상이),"뉴 아메리칸 오크 스트레이트 라이(고·저 라이 매시빌 블렌드, 4~7년 숙성)","계피·정향·바닐라 향에 다크초콜릿·흑후추·흑설탕·꿀의 풍미가 진하게 이어지고, 마른 베이킹 스파이스·허브 뉘앙스가 길게 남는다.","메릴랜드 볼티모어 사가모어 스피릿의 캐스크 스트렝스 스트레이트 라이로, 1909년 지은 샘물(석회암 여과수)을 더해 병입. 배럴마다 도수가 달라 병별 고유 프루프.",Breaking Bourbon · Sagamore Spirit 공식 (2026-06-10 리서치),2026-06-10
딘스톤 10년 700ml,딘스톤 (Deanston),스코틀랜드 하이랜드,46.3%,엑스버번 캐스크 숙성 후 보르도 레드와인 캐스크 피니시(논칠필터·무착색),엑스버번의 크리미한 바닐라·맥아 단맛에 보르도 와인 캐스크의 붉은 과일·스파이스가 더해진 풍미.,면방직 공장을 개조한 하이랜드 딘스톤 증류소의 글로벌 트래블 리테일(면세) 전용 10년. 핵심 라인 12년과 별개의 면세 한정 보틀링이다.,Master of Malt · The Whisky Shop · Dramface (2026-06-10 리서치),2026-06-10
더 글렌그란트 캐스크 헤이븐 1000ml,글렌그란트 (Glen Grant),스코틀랜드 스페이사이드,46%,퍼스트필 버번 + 셰리 캐스크 셀렉션,"브랜디에 절인 체리·크리미한 바닐라·시나몬롤 향에 카시아·흑후추·생강 스파이스, 레몬·라임 시트러스와 비즈왁스 뉘앙스의 피니시.",글렌그란트 'Rothes Chronicles' 시리즈 첫 보틀링으로 고향 스페이사이드 로시스에서 이름을 따 트래블 리테일(면세) 시장용으로 출시됐다.,Master of Malt · whisky.com · Glen Grant 공식 (2026-06-10 리서치),2026-06-10
러셀 리저브 라이 6년 750ml,"러셀 리저브 (Russell's Reserve, Wild Turkey)",미국 켄터키,45% (90proof),"뉴 차드 아메리칸 오크 배럴, 6년 숙성 스트레이트 라이","건초·바닐라·오크의 가벼운 향에 핑크 버블껌 같은 단맛, 카라멜·바닐라·라이 스파이스에 약간의 가죽·후추·베이킹 스파이스, 우디·비스킷한 피니시.","와일드 터키 마스터 디스틸러 러셀 부자(父子)가 만든 러셀 리저브 라인의 6년 스트레이트 라이로, 90프루프의 켄터키 라이 특유의 달고 향긋한 스타일.",Breaking Bourbon · Rare Bird 101 (2026-06-10 리서치),2026-06-10
사가모어 Double Oak Whiskey 750ml,사가모어 스피릿 (Sagamore Spirit),미국 메릴랜드,48.3% (96.6proof),하이차 뉴 아메리칸 오크 4~5년 숙성 후 토스티드 웨이브 스테이브 배럴에서 18개월 추가 피니시(더블 오크),"토스티드 오크·계피·말린 오렌지필·베이킹 스파이스 향에 카라멜·토스티드 코코넛·바닐라·헤이즐넛·피칸의 견과 단맛, 길고 따뜻한 오크 단맛 피니시.","메릴랜드 볼티모어 사가모어 스피릿의 더블 오크 스트레이트 라이로, 1차 숙성 후 저차·미디엄플러스 토스트 웨이브 스테이브 배럴에서 한 번 더 마무리해 카라멜·토피·견과 풍미를 입힌다.",Breaking Bourbon · Sagamore Spirit 공식 (2026-06-10 리서치),2026-06-10
오켄토션 다크 오크 CNY 1000ml,오켄토션 (Auchentoshan),스코틀랜드 로우랜드,43%,버번·올로로소 셰리·페드로 히메네스(PX) 셰리 캐스크 3종 숙성,"견과류·토피·코코넛·바닐라에 셰리의 붉은 베리, 입안은 볶은 헤이즐넛·크렘 캐러멜·캔디드 애플·약간의 감초 타닌으로 스파이시하면서 달다.","로우랜드 오켄토션의 트래블 리테일 전용 표현으로, 음력설(용의 해) 한정판은 용 실루엣 패키지로 출시됐다. 한국·싱가포르·대만 등 아시아 면세 채널 전용.",Auchentoshan 공식 · Master of Malt · Moodie Davitt Report (2026-06-10 리서치),2026-06-10
딘스톤 버진 오크 700ml,딘스톤 (Deanston),스코틀랜드 하이랜드,46.3%,버번 배럴 숙성 후 버진(처녀) 아메리칸 오크에서 9~12개월 추가 피니시,"레몬 제스트·보리 사탕·사과·너트멕의 향, 입안은 캔디드 프루트·바닐라 토피·헤더 허니에 견과류의 왁시한 질감, 가벼운 스파이스로 마무리.",하이랜드 딘스톤의 엔트리급 싱글몰트로 새 오크통이 주는 또렷한 바닐라·꿀 캐릭터가 특징인 가성비 표현. 58.5% 캐스크 스트랭스 배치 버전도 별도 출시.,Master of Malt · Deanston 공식 · Dramface (2026-06-10 리서치),2026-06-10
와일드터키 켄터키 스피릿 1L,와일드터키 (Wild Turkey),미국 켄터키,50.5% (101proof),"No.4 알리게이터 차링 아메리칸 화이트 오크 단일통(싱글 배럴), 8.5~9.5년 숙성","배럴별로 상이하나 대체로 계피·캐러멜·꿀·시트러스 향, 입안은 캔디드 너트·콜라·가죽·담배·캐러멜에 라이 스파이스, 베이킹 스파이스로 길게 마무리.",마스터 디스틸러 지미·에디 러셀이 통 하나하나를 직접 골라 병입하는 싱글 배럴 버번으로 각 병에 통·창고·날짜가 표기된다. 1994년 출시된 초기 싱글 배럴 버번 중 하나.,Breaking Bourbon · Wild Turkey 공식 · The Whiskey Shelf (2026-06-10 리서치),2026-06-10
와일드터키 101 1000ml,와일드터키 (Wild Turkey),미국 켄터키,50.5% (101proof),"No.4 알리게이터 차링 아메리칸 화이트 오크 배럴, 6~8년 숙성 블렌딩","캐러멜·버번 스파이스·너트멕·계피와 또렷한 바닐라·생크림 향, 입안은 캐러멜·스위트콘·바닐라·감초에 약간의 시트러스·그레인, 캐러멜에서 오크로 길게 마무리.",1941년 명명 당시 100프루프 본디드 버번들 사이에서 1프루프 더 높은 101프루프(50.5%)로 차별화한 것이 이름의 유래. 옥수수 75%·라이 13%·몰트보리 12% 매시빌의 대표 버번.,Breaking Bourbon · Wild Turkey 공식 · The Whiskey Jug (2026-06-10 리서치),2026-06-10
